StackOverflow Post link,Comment,Viral,Kosta,Note,Kosta Note
https://stackoverflow.com/a/60661088/5749570,Using the wrong delete isn't the same as freeing memory that was already freed. Keep in mind that delete isn't free. delete does eventually cause memory to be freed but it also ends an object's lifetime and calls the destructor. – François Andrieux Mar 12 at 20:05,1,2,"I believe all comments are talking about the same thing. They are talking about the `delete` operator behavior at run time. Therefore, they all should be in group 1.",Choosing the right granularity is a common issue when people perform clustering. I think this can be either way. 
,"And its actually not freeing already freed memory, its trying to delete memory which you dont own and/or is nothing to do with table. – Lonesome Paradise Mar 12 at 20:09",1,2,,
,@TheGoldKnight23 Can you please explain how you came to that conclusion? – François Andrieux Mar 12 at 20:15,1,,,
,"delete[] will delete the current pointer then look for the other elements of the array, even if they dont exist. Which means that when it is called on a single pointer it goes on a rampage of destruction as it never finds the bounds of the array and it is completely undefined as to what happens at that point – Lonesome Paradise Mar 12 at 20:16",1,1,,
,@TheGoldKnight23 That is just what might happen when you use the wrong delete. It's Undefined Behavior. No single possible outcome is any more valid than any other. It might work fine sometimes. It might not crash and corrupt a bunch of data. It might even crash before it reaches the delete. It's incorrect to presume how UB will manifest. – François Andrieux Mar 12 at 20:18,1,1,,
,"Sure, but it will definitely cause a deletion of something (possibly many somethings) next to it on the heap and then we have objects of type X being destructed as objects of type A (fun :D). But the above segfault is not caused by freeing already freed memory but by using the wrong delete – Lonesome Paradise Mar 12 at 20:22",1,3,,
,"@TheGoldKnight23 Yes, using the wrong delete is a problem that needs to be fixed. No, it won't necessarily delete something. It might not even delete table at all! You may be interested in reading about time traveling Undefined Behavior. It's real. – François Andrieux Mar 12 at 20:23",1,3,,
,@FrançoisAndrieux delete indeed frees up memory pointed to by a pointer (and calls destructor). OP is using the delete array operator instead of the plain delete. – VHS Mar 12 at 20:30,1,4,,
,"@VHS Of course, but the problem with using the wrong delete is that it is Undefined Behavior. You can't assume it will be a memory problem. delete is not free. It could just as well crash because it tried to execute a destructor with a bad this. I can fail for all sorts of reasons. Bringing in memory management is an error in this answer. – François Andrieux Mar 12 at 20:31",1,4,,
,"@FrançoisAndrieux, I tried to reword my answer. I also read your link to the post about time traveling UB. It appears as if such 'time travel' may occur when the compiler sees a UB statically and optimizes it. However, in OP's case, a compiler may not be able to detect a UB and therefore, the delete[] table instruction would be executed at run time. – VHS Mar 13 at 1:05",1,5,,
,"@VHS Maybe time traveling UB won't occur here but it's just an example to illustrate that UB can do anything. As a c++ developer you are required to not presume what UB will do. It's not because we can't think of a reason it would act a certain way that it never will. There could be any number of other reasons that delete[] isn't reached or that delete[] would not reach the point of freeing memory,. – François Andrieux Mar 13 at 13:26",1,5,,
https://stackoverflow.com/a/6841479/5749570,"@Jon: Out of curiosity, why did they set their clocks back by such a ""weird"" interval? Anything like an hour would have seemed logical, but how come it was 5:52mins? – Johannes Rudolph Jul 27 '11 at 13:22",1,1,,
,"@Johannes: To make it a more globally normal time zone, I believe - the resulting offset is UTC+8. Paris did the same sort of thing in 1911 for example: timeanddate.com/worldclock/clockchange.html?n=195&year=1911 – Jon Skeet Jul 27 '11 at 13:25",1,1,,
,@Jon Do you happen to know if Java/.NET copes with September in 1752? I always used to love showing people cal 9 1752 on unix systems – Mr Moose Jul 27 '11 at 14:01,3,2,I think mine is correct. I think you have accidentally gotten group 2 and 3 reverse. These two comment have a total vote of 55 while the other 2 comments which you have annotated as group 2 have a total upvote of 39.,Agree
,"@Mr Moose: I believe Joda Time will do different things depending on the calendar you pick, and Noda Time will when we implement cutover calendars. I don't know about the ""native"" Java / .NET classes. – Jon Skeet Jul 27 '11 at 14:04",3,2,,
,"Does this mean that, somewhere in the Java date libraries, there's logic handling this very edge case (and every other bizarre edge case)? – Yahel Jul 27 '11 at 20:06",4,4,,
,"@yahelc: Nope - there's just general time zone code, which handles all kinds of historical time zone transitions. – Jon Skeet Jul 27 '11 at 20:07",4,4,,
,"@yahelc, to elaborate: time zone changes are basically a small set of different possible parameterized events. The code implements this set of events, and a timezone database supplies a list of events and parameters for each timezone. By the way, this timezone database can be updated independently of the JRE itself: oracle.com/technetwork/java/javase/tzupdater-readme-136440.html – Michael Borgwardt Jul 27 '11 at 22:05",4,4,,
,So why the heck was Shanghai 5 minutes out of wack in the first place? – Igby Largeman Jul 27 '11 at 22:16,2,3,I think mine is correct. I think you have accidentally gotten group 2 and 3 reverse. These two comment have a total vote of 55 while the other 2 comments which you have annotated as group 2 have a total upvote of 39.,Agree
,"@Charles: Lots of places were had less conventional offsets back then. In some countries, different towns each had their own offset to be as close to geographically correct as possible. – Jon Skeet Jul 27 '11 at 22:27",2,3,,
,"I understand the reasoning behind it, and why it's implemented like this. I personally think the result should be 'undetermined' at best. The way it's implemented now is as if the first occurrences of 23:54:08-23:59:59 never happened. 1 and 353 would both be a correct answer. Technically 2 different timezone's are subtracted which doesn't feel like correct behavior. – It's me ... Alex Oct 15 '14 at 14:35",6,,,
,"@It'sme...Alex: No, there's only one time zone here - with two different UTC offsets. A better API would allow you to determine which instant you meant when parsing an ambiguous local time, of course :) – Jon Skeet Oct 15 '14 at 14:37",6,,,
,"@Jon Skeet: ok, two different UTC offsets :-) ... But you understand what I mean. The implementation in java (and most likely other libraries as well) is a bit poor – It's me ... Alex Oct 15 '14 at 14:40",6,,,
,"@It'sme...Alex: Well java.util.Calendar and java.util.Date are certainly poor in a number of ways. In Noda Time, when you convert a LocalDateTime to a ZonedDateTime, you have to give an indication of how you want to handle ambiguous or skipped instants. – Jon Skeet Oct 15 '14 at 15:04",6,,,
,Is there a complete listing of all such time corrections that have been done in all of history? – Kevin H. Lin Oct 16 '14 at 1:58,8,,,
,"@JonSkeet If this answer is correct, then it might be wise to add it to your answer too, that way it's super up to date – Dan Temple Oct 30 '14 at 17:45",7,,,
,"@DanTemple: That answer isn't really correct - the time zone database changed the transition time slightly, but if you edit the original program appropriately, you'll still see a discontinuity. – Jon Skeet Oct 30 '14 at 17:49",7,,,
,I now see why Tom Scott says to just not do this. youtube.com/watch?v=-5wpm-gesOY – Ben Leggiero May 15 '15 at 1:11,5,5,,
